DateTime,Air temperature,Pressure,Wind speed,Power generated by system,predicted
10-02-2024 21:00,-0.179,0.989984,11.737,59.0794,59.12220999999993
10-02-2024 22:00,-0.589,0.990396,11.319,57.364,57.464252999999914
10-02-2024 23:00,-1.624,0.991125,10.278,47.8427,47.90110700000007
11-02-2024 00:00,-3.071,0.992,10.616,51.9999,52.07767699999991
11-02-2024 01:00,-3.749,0.992685,8.318,27.4096,27.50355799999997
11-02-2024 02:00,-4.041,0.993131,10.148,46.7654,46.88633100000009
11-02-2024 03:00,-4.407,0.993668,9.382,38.7006,38.75154200000003
11-02-2024 04:00,-4.72,0.993959,9.035,35.9249,35.92705899999999
11-02-2024 05:00,-5.015,0.994058,8.131,26.495,26.48152499999995
11-02-2024 06:00,-5.32,0.994523,7.955,24.9252,24.98253699999999
11-02-2024 07:00,-5.613,0.99484,8.297,28.3652,28.319198000000032
11-02-2024 08:00,-5.82,0.995029,7.593,22.0049,21.973644999999966
11-02-2024 09:00,-6.023,0.995197,6.335,12.042,12.018721999999999
11-02-2024 10:00,-6.34,0.995255,6.387,12.2467,12.237731999999994
11-02-2024 11:00,-6.798,0.995366,7.04,17.3583,17.30416300000003
11-02-2024 12:00,-7.095,0.995517,6.638,13.9667,13.90585399999997
11-02-2024 13:00,-7.306,0.995581,5.169,5.35722,5.329335799999998
11-02-2024 14:00,-6.839,0.995855,6.054,10.4182,10.406731999999987
11-02-2024 15:00,-5.783,0.996051,4.964,4.51342,4.509052099999996
11-02-2024 16:00,-4.5,0.996018,4.389,2.53352,2.5056566000000036
11-02-2024 17:00,-3.088,0.995599,4.414,2.45778,2.4671990000000052
11-02-2024 18:00,-1.713,0.995218,4.385,2.37081,2.3754328000000036
11-02-2024 19:00,-0.449,0.994884,4.245,2.02986,2.0367779000000037
11-02-2024 20:00,0.577,0.994487,3.9,1.23784,1.234135000000002
11-02-2024 21:00,1.281,0.993973,4.0,1.44418,1.4367348000000006
11-02-2024 22:00,1.425,0.993409,4.438,2.58494,2.5749388999999963
11-02-2024 23:00,-0.642,0.993014,4.955,4.32213,4.324593900000001
12-02-2024 00:00,-3.388,0.992703,5.628,7.71788,7.714552200000006
12-02-2024 01:00,-4.149,0.992512,5.486,6.47008,6.508799600000008
12-02-2024 02:00,-4.237,0.992368,5.806,8.65686,8.653895700000016
12-02-2024 03:00,-4.322,0.992072,6.233,11.4966,11.467151999999977
12-02-2024 04:00,-4.231,0.991621,6.396,12.2115,12.177587999999988
12-02-2024 05:00,-4.934,0.99107,5.853,9.02716,8.989515499999987
12-02-2024 06:00,-5.01,0.990916,4.984,4.3201,4.354160100000007
12-02-2024 07:00,-5.499,0.990757,4.998,4.34423,4.368988099999995
12-02-2024 08:00,-5.501,0.9904,4.894,4.02469,4.038244700000004
12-02-2024 09:00,-5.312,0.990164,4.603,3.14878,3.137896799999995
12-02-2024 10:00,-5.059,0.989856,3.575,0.0,0.0
12-02-2024 11:00,-5.031,0.989772,2.87,0.0,0.0
12-02-2024 12:00,-4.805,0.989521,2.375,0.0,0.0
12-02-2024 13:00,-4.768,0.989352,2.895,0.0,0.0
12-02-2024 14:00,-2.879,0.989242,3.016,0.0,0.0
12-02-2024 15:00,-0.98,0.988919,2.393,0.0,0.0
12-02-2024 16:00,1.393,0.988467,2.776,0.0,0.0
12-02-2024 17:00,3.525,0.987432,2.925,0.0,0.0
12-02-2024 18:00,5.156,0.986497,2.85,0.0,0.0
12-02-2024 19:00,6.569,0.985625,3.201,0.0,0.0
12-02-2024 20:00,7.75,0.98481,3.751,0.882471,0.8810142499999994
12-02-2024 21:00,8.355,0.983756,4.964,4.20838,4.2068003999999934
12-02-2024 22:00,8.076,0.98315,5.309,5.66092,5.6463584999999945
12-02-2024 23:00,5.749,0.983088,5.402,5.87433,5.897295599999992
13-02-2024 00:00,4.834,0.98276,6.489,11.7232,11.758556999999998
13-02-2024 01:00,4.437,0.982529,5.74,7.62631,7.672042699999996
13-02-2024 02:00,3.97,0.98248,6.426,11.5485,11.585819000000008
13-02-2024 03:00,3.63,0.981975,7.269,18.3664,18.32415299999996
13-02-2024 04:00,3.587,0.981786,5.72,7.79573,7.8120290000000105
13-02-2024 05:00,3.448,0.981012,8.332,27.592,27.47240700000004
13-02-2024 06:00,2.887,0.980544,6.742,13.8304,13.807020000000028
13-02-2024 07:00,2.767,0.980286,7.014,15.7495,15.786081999999972
13-02-2024 08:00,2.939,0.980171,6.79,13.7576,13.80378199999999
13-02-2024 09:00,2.981,0.979681,7.767,21.5225,21.625515000000018
13-02-2024 10:00,2.98,0.979227,7.526,19.6238,19.761154000000023
13-02-2024 11:00,3.115,0.979058,5.969,9.11893,9.10120609999999
13-02-2024 12:00,3.411,0.978791,5.72,7.9214,7.898494699999992
13-02-2024 13:00,3.625,0.978755,5.374,5.97609,5.974558600000002
13-02-2024 14:00,3.865,0.978998,5.511,6.577,6.562681700000001
13-02-2024 15:00,4.389,0.979243,5.444,5.98794,6.007742899999991
13-02-2024 16:00,5.012,0.979397,4.877,3.82652,3.8320151000000022
13-02-2024 17:00,5.853,0.979263,3.624,0.350662,0.36865067999999984
13-02-2024 18:00,6.416,0.97934,2.577,0.0,0.0
13-02-2024 19:00,6.823,0.979382,1.746,0.0,0.0
13-02-2024 20:00,7.203,0.979525,1.414,0.0,0.0
13-02-2024 21:00,7.515,0.979757,1.269,0.0,0.0
13-02-2024 22:00,7.416,0.980034,1.047,0.0,0.0
13-02-2024 23:00,6.989,0.980599,0.45,0.0,0.0
14-02-2024 00:00,6.712,0.98104,0.698,0.0,0.0
14-02-2024 01:00,5.373,0.981565,0.505,0.0,0.0
14-02-2024 02:00,6.218,0.982159,1.871,0.0,0.0
14-02-2024 03:00,6.198,0.982525,1.866,0.0,0.0
14-02-2024 04:00,6.199,0.982845,1.523,0.0,0.0
14-02-2024 05:00,5.604,0.982901,1.914,0.0,0.0
14-02-2024 06:00,3.801,0.983122,1.989,0.0,0.0
14-02-2024 07:00,3.891,0.983467,3.251,0.0,0.0
14-02-2024 08:00,3.774,0.98375,3.455,0.0,0.0
14-02-2024 09:00,2.042,0.984131,3.851,1.11587,1.1131664000000006
14-02-2024 10:00,1.575,0.984217,3.933,1.29327,1.2891492000000029
14-02-2024 11:00,1.305,0.98456,4.487,2.71607,2.7119153000000007
14-02-2024 12:00,1.908,0.985055,4.299,2.17185,2.167486400000003
14-02-2024 13:00,3.395,0.985378,4.671,3.21139,3.2055529999999965
14-02-2024 14:00,3.773,0.985711,4.579,2.9383,2.9303939000000008
14-02-2024 15:00,4.477,0.985546,5.405,6.09346,6.094105500000003
14-02-2024 16:00,5.846,0.985516,4.421,2.48323,2.484187799999998
14-02-2024 17:00,8.79,0.985192,3.77,0.921156,0.9182246
14-02-2024 18:00,10.928,0.984895,3.382,0.0,0.0
14-02-2024 19:00,13.102,0.984585,3.75,0.810112,0.8149255299999996
14-02-2024 20:00,14.277,0.984343,4.539,2.72512,2.724035500000002
14-02-2024 21:00,14.149,0.983876,4.716,3.10214,3.115396900000001
14-02-2024 22:00,14.529,0.983585,4.397,2.22313,2.230012999999998
