DateTime,Air temperature,Pressure,Wind speed,Power generated by system,predicted
04-01-2024 02:00,-1.326,0.987043,9.769,42.8181,42.657509999999995
04-01-2024 03:00,-1.802,0.987198,9.222,37.3801,37.36138799999996
04-01-2024 04:00,-2.189,0.986975,8.581,29.6729,29.868928000000032
04-01-2024 05:00,-2.64,0.986504,8.229,25.9808,26.425053000000005
04-01-2024 06:00,-2.62,0.986386,7.343,18.555,18.777100000000015
04-01-2024 07:00,-2.493,0.986338,6.231,11.1188,11.141990999999992
04-01-2024 08:00,-2.53,0.98629,5.274,5.68673,5.667011700000005
04-01-2024 09:00,-2.576,0.986212,4.667,3.28575,3.251842100000004
04-01-2024 10:00,-2.907,0.986184,3.429,0.0,0.0
04-01-2024 11:00,-3.186,0.986485,2.514,0.0,0.0
04-01-2024 12:00,-3.338,0.98663,2.507,0.0,0.0
04-01-2024 13:00,-3.498,0.986825,1.664,0.0,0.0
04-01-2024 14:00,-2.558,0.986991,1.328,0.0,0.0
04-01-2024 15:00,0.018,0.987125,0.795,0.0,0.0
04-01-2024 16:00,2.479,0.987107,0.542,0.0,0.0
04-01-2024 17:00,5.138,0.986767,1.247,0.0,0.0
04-01-2024 18:00,7.616,0.986302,1.386,0.0,0.0
04-01-2024 19:00,9.395,0.985789,1.501,0.0,0.0
04-01-2024 20:00,10.309,0.985305,1.474,0.0,0.0
04-01-2024 21:00,10.746,0.984956,2.307,0.0,0.0
04-01-2024 22:00,9.284,0.984589,2.519,0.0,0.0
04-01-2024 23:00,5.602,0.984677,2.929,0.0,0.0
05-01-2024 00:00,4.147,0.984586,3.687,0.735657,0.7356146200000011
05-01-2024 01:00,3.241,0.984472,4.245,2.02031,2.013686499999998
05-01-2024 02:00,2.603,0.984448,5.345,5.87833,5.827672600000002
05-01-2024 03:00,1.664,0.984403,5.582,7.20813,7.150693299999993
05-01-2024 04:00,1.164,0.984125,5.311,5.77609,5.769665700000001
05-01-2024 05:00,0.681,0.983735,4.693,3.30814,3.3041037999999974
05-01-2024 06:00,0.444,0.983556,4.596,3.02682,2.992559099999996
05-01-2024 07:00,0.326,0.983439,4.445,2.61054,2.592762599999997
05-01-2024 08:00,0.169,0.983345,4.409,2.51125,2.4973125999999963
05-01-2024 09:00,0.11,0.983244,4.557,2.93494,2.920760900000001
05-01-2024 10:00,0.133,0.983166,4.408,2.50982,2.496140499999997
05-01-2024 11:00,-0.019,0.9833,4.21,1.94242,1.9293868999999986
05-01-2024 12:00,-0.221,0.983432,4.209,1.88731,1.8882340000000024
05-01-2024 13:00,-0.357,0.983564,4.31,2.12871,2.1630682000000028
05-01-2024 14:00,0.695,0.983649,4.529,2.74701,2.7383627999999955
05-01-2024 15:00,3.906,0.983608,4.461,2.55816,2.555780599999996
05-01-2024 16:00,6.879,0.9834,2.829,0.0,0.0
05-01-2024 17:00,9.512,0.982808,2.711,0.0,0.0
05-01-2024 18:00,11.976,0.982284,3.137,0.0,0.0
05-01-2024 19:00,13.807,0.981802,3.642,0.321122,0.4137717000000004
05-01-2024 20:00,15.335,0.981353,4.269,1.8795,1.8950047
05-01-2024 21:00,15.832,0.980886,4.578,2.67962,2.7321089000000005
05-01-2024 22:00,14.54,0.980489,5.711,7.56168,7.542676800000012
05-01-2024 23:00,10.943,0.98041,7.221,17.4564,17.374358000000015
06-01-2024 00:00,9.207,0.980433,8.825,31.9915,31.72561500000004
06-01-2024 01:00,8.108,0.980394,9.793,41.4656,41.37501
06-01-2024 02:00,7.817,0.980344,10.784,50.577,50.831144000000094
06-01-2024 03:00,7.865,0.980223,10.067,43.4257,43.77059499999995
